,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,19,23,23,23,23,23,44
Reserves,51,73,60,47,47,76,60
Borrowings +,7,1,6,17,18,60,67
Other Liabilities +,18,18,48,52,47,43,28
Total Liabilities,96,115,137,137,135,201,199
Fixed Assets +,42,44,51,40,38,26,10
CWIP,1,0,0,0,0,0,0
Investments,6,8,21,21,25,62,62
Other Assets +,46,63,65,76,72,113,127
Total Assets,96,115,137,137,135,201,199
