,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,711,713,813,859,853
Expenses +,526,515,567,596,577
Operating Profit,185,197,246,263,277
OPM %,26%,28%,30%,31%,32%
Other Income +,37,36,20,32,38
Interest,7,7,13,23,29
Depreciation,23,26,27,33,45
Profit before tax,191,200,226,239,241
Tax %,32%,21%,26%,26%,
Net Profit,131,158,166,177,175
EPS in Rs,6.97,8.44,8.88,9.43,9.36
