,Mar 2006,Mar 2007,Mar 2008,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,6,12,13,13,13,13,13,13,13,15,15
Reserves,85,96,95,547,583,654,755,226,131,58,82,42
Borrowings +,24,41,55,109,83,71,34,3,6,5,3,52
Other Liabilities +,29,30,38,105,74,78,118,62,33,53,9,12
Total Liabilities,143,173,199,773,751,816,919,303,182,128,108,121
Fixed Assets +,83,96,110,172,305,306,308,22,25,21,38,38
CWIP,3,5,4,107,7,10,25,0,0,5,4,2
Investments,4,5,2,0,0,301,279,223,0,0,45,45
Other Assets +,53,68,83,494,439,199,308,58,157,103,22,35
Total Assets,143,173,199,773,751,816,919,303,182,128,108,121
