,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,62,62,62,62,62,62,62,63,63,63,63,63,63
Reserves,591,893,"1,380","1,604","1,756","2,965","3,214","3,667","4,135","4,249","5,114","5,940","6,110"
Borrowings +,"1,117","1,027",982,"1,054",424,134,208,115,94,72,521,438,203
Other Liabilities +,"1,792","2,193","2,034","2,613","2,546","1,225","1,683","2,763","2,856","2,690","3,155","4,083","3,810"
Total Liabilities,"3,564","4,175","4,458","5,332","4,788","4,387","5,168","6,608","7,148","7,073","8,852","10,523","10,185"
Fixed Assets +,"1,331","1,391","1,500","1,600","1,541","1,224","1,300","2,819","2,904","3,350","3,290","3,434","3,390"
CWIP,25,66,25,44,38,20,12,24,233,86,90,57,62
Investments,0,0,0,0,0,189,162,0,0,0,306,426,301
Other Assets +,"2,208","2,718","2,933","3,688","3,209","2,954","3,694","3,765","4,012","3,638","5,166","6,606","6,432"
Total Assets,"3,564","4,175","4,458","5,332","4,788","4,387","5,168","6,608","7,148","7,073","8,852","10,523","10,185"
