,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,12,12,12
Reserves,716,656,490,388,513,570,642
Borrowings +,164,448,279,431,279,153,79
Other Liabilities +,406,617,824,501,432,458,587
Total Liabilities,"1,295","1,731","1,602","1,330","1,235","1,193","1,319"
Fixed Assets +,739,834,699,731,642,612,597
CWIP,27,70,14,22,20,8,17
Investments,0,2,3,5,1,2,4
Other Assets +,529,825,887,571,573,571,701
Total Assets,"1,295","1,731","1,602","1,330","1,235","1,193","1,319"
