,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,052","6,793","7,489","9,318","10,148"
Expenses +,"6,134","5,493","6,028","7,819","8,935"
Operating Profit,918,"1,301","1,460","1,499","1,214"
OPM %,13%,19%,20%,16%,12%
Other Income +,54,33,34,40,36
Interest,457,419,664,570,514
Depreciation,498,528,794,918,948
Profit before tax,17,387,36,51,-212
Tax %,260%,36%,171%,37%,
Net Profit,-26,249,-26,32,-166
EPS in Rs,-1.32,10.28,-0.82,0.90,-4.66
