,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,6,6,6,6,6,6,6
Reserves,87,102,58,64,66,51,45
Borrowings +,200,208,144,132,139,125,112
Other Liabilities +,113,89,61,72,72,74,64
Total Liabilities,405,404,268,274,283,255,226
Fixed Assets +,170,157,129,111,103,98,74
CWIP,0,0,0,0,1,0,0
Investments,28,14,14,14,13,13,13
Other Assets +,208,233,125,148,166,144,139
Total Assets,405,404,268,274,283,255,226
