,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,35,23,23,23,23,23,27,27,27,27,27,27
Reserves,559,729,751,753,742,812,897,"1,656","1,915","1,928","1,915","1,995","2,074"
Borrowings +,185,455,485,352,337,243,221,2,0,-0,35,45,12
Other Liabilities +,182,213,276,167,116,117,116,299,129,168,165,210,330
Total Liabilities,946,"1,420","1,534","1,295","1,218","1,195","1,257","1,984","2,071","2,123","2,142","2,276","2,443"
Fixed Assets +,192,132,349,760,854,861,852,"1,224","1,229","1,286","1,242","1,197","1,213"
CWIP,82,411,522,99,4,3,1,4,13,7,6,7,16
Investments,163,134,114,105,108,83,98,422,445,505,560,638,628
Other Assets +,509,742,550,331,252,249,307,334,383,325,334,435,585
Total Assets,946,"1,420","1,534","1,295","1,218","1,195","1,257","1,984","2,071","2,123","2,142","2,276","2,443"
