,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,5,5,5,5,5,5
Reserves,30,39,51,66,60,51,37,17,-5,-36,-45
Borrowings +,31,60,101,106,113,12,121,201,75,74,82
Other Liabilities +,9,11,21,27,37,129,25,16,164,185,179
Total Liabilities,75,116,179,205,216,197,188,240,239,228,221
Fixed Assets +,32,30,32,30,188,182,172,222,212,201,196
CWIP,24,70,135,166,9,5,5,5,5,6,6
Investments,-0,-0,-0,-0,-0,-0,-0,-0,9,-0,-0
Other Assets +,20,15,12,9,18,10,10,13,13,21,20
Total Assets,75,116,179,205,216,197,188,240,239,228,221
