,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10
Reserves,638,677,698,722,723
Borrowings +,523,454,448,575,593
Other Liabilities +,481,572,763,777,887
Total Liabilities,"1,653","1,713","1,919","2,084","2,213"
Fixed Assets +,514,579,657,657,657
CWIP,8,11,12,14,23
Investments,9,9,10,7,5
Other Assets +,"1,121","1,114","1,241","1,406","1,528"
Total Assets,"1,653","1,713","1,919","2,084","2,213"
