,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,071","2,044","3,147","4,027","5,628","3,828","1,014",78,42
Expenses +,976,"1,823","2,807","3,625","5,577","4,041","1,367",134,147
Operating Profit,94,221,340,402,51,-213,-352,-56,-105
OPM %,9%,11%,11%,10%,1%,-6%,-35%,-73%,-250%
Other Income +,1,13,29,73,11,-581,-902,-111,15
Interest,17,40,86,169,340,442,180,6,2
Depreciation,5,12,27,53,81,97,76,54,37
Profit before tax,74,182,256,253,-359,"-1,332","-1,511",-227,-129
Tax %,22%,34%,36%,16%,-3%,-1%,0%,-1%,-1%
Net Profit,57,120,165,213,-369,"-1,346","-1,505",-229,-130
EPS in Rs,25.95,3.62,4.64,5.21,-8.65,-29.26,-32.75,-4.88,-2.78
