,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,9,9
Reserves,332,360,372,435,492,520
Borrowings +,31,22,1,3,22,38
Other Liabilities +,82,69,61,82,67,116
Total Liabilities,454,461,444,530,590,683
Fixed Assets +,135,135,123,120,145,139
CWIP,6,2,4,11,2,2
Investments,131,113,101,60,101,193
Other Assets +,182,211,215,339,342,350
Total Assets,454,461,444,530,590,683
