,Mar 2008,Mar 2009,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22,22,22,24,34,34,34,34
Reserves,249,155,-256,252,247,240,250,245,235,224,221
Borrowings +,531,751,766,57,71,84,69,326,396,398,421
Other Liabilities +,161,152,246,11,28,39,62,115,148,136,122
Total Liabilities,963,"1,080",778,343,368,385,405,721,813,792,798
Fixed Assets +,209,271,222,7,9,14,18,339,395,394,413
CWIP,21,6,0,0,1,0,1,4,5,0,0
Investments,0,0,0,33,32,31,30,0,0,0,0
Other Assets +,734,803,557,303,326,340,355,378,414,398,385
Total Assets,963,"1,080",778,343,368,385,405,721,813,792,798
