,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4,4
Reserves,52,43,35,33,37,54,72,91,97
Borrowings +,0,0,2,5,5,3,2,1,0
Other Liabilities +,14,11,15,12,10,12,23,20,11
Total Liabilities,70,58,56,55,58,74,102,117,112
Fixed Assets +,4,3,7,3,3,3,3,3,20
CWIP,0,0,1,2,0,0,6,12,0
Investments,0,0,0,0,0,0,0,0,0
Other Assets +,66,56,48,50,55,72,93,101,93
Total Assets,70,58,56,55,58,74,102,117,112
