,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,36,32,27,14
Reserves,26,52,89,227,262
Borrowings +,87,77,77,204,215
Other Liabilities +,174,193,199,315,258
Total Liabilities,294,335,377,760,749
Fixed Assets +,85,94,120,245,271
CWIP,4,10,3,31,3
Investments,0,0,0,0,0
Other Assets +,205,231,254,484,475
Total Assets,294,335,377,760,749
