,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14
Reserves,262,253,284,317
Borrowings +,43,32,9,2
Other Liabilities +,30,36,46,53
Total Liabilities,348,335,352,387
Fixed Assets +,195,202,194,190
CWIP,35,3,8,16
Investments,1,24,31,55
Other Assets +,118,105,119,125
Total Assets,348,335,352,387
