,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0.04,19.10,18.23,52.95,37.95,15.71,8.02,6.18,6.37,14.44
Expenses +,0.09,16.83,16.31,33.51,26.21,16.26,7.33,4.33,4.49,9.21
Operating Profit,-0.05,2.27,1.92,19.44,11.74,-0.55,0.69,1.85,1.88,5.23
OPM %,-125.00%,11.88%,10.53%,36.71%,30.94%,-3.50%,8.60%,29.94%,29.51%,36.22%
Other Income +,0.00,-0.43,0.60,0.08,0.10,0.18,-31.33,-0.53,-0.01,0.17
Interest,0.00,0.09,0.18,0.35,0.20,0.18,0.25,0.20,0.18,0.18
Depreciation,0.10,1.18,0.36,0.21,0.42,0.54,0.33,1.09,1.08,1.16
Profit before tax,-0.15,0.57,1.98,18.96,11.22,-1.09,-31.22,0.03,0.61,4.06
Tax %,0.00%,75.44%,-0.51%,17.72%,6.68%,5.50%,0.10%,100.00%,-1.64%,
Net Profit,-0.15,0.13,1.99,15.60,10.48,-1.03,-31.19,0.00,0.62,3.81
EPS in Rs,-0.09,0.07,1.14,8.63,5.77,-0.56,-17.07,0.00,0.34,2.08
