,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,503,688,536,504,611,715
Expenses +,472,667,517,465,558,676
Operating Profit,32,20,19,39,53,39
OPM %,6%,3%,4%,8%,9%,5%
Other Income +,2,4,3,7,8,5
Interest,4,3,2,2,2,2
Depreciation,8,6,9,10,11,11
Profit before tax,22,16,11,34,49,31
Tax %,30%,48%,18%,23%,28%,
Net Profit,16,8,9,27,35,21
EPS in Rs,2.38,1.27,1.31,4.05,5.39,3.28
