,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,101,129,139,193,250,299
Expenses +,89,103,114,154,197,239
Operating Profit,12,26,25,39,53,60
OPM %,12%,20%,18%,20%,21%,20%
Other Income +,3,4,5,3,3,6
Interest,4,3,2,1,1,2
Depreciation,1,2,2,2,3,4
Profit before tax,10,25,25,38,52,59
Tax %,28%,23%,20%,21%,22%,
Net Profit,7,19,20,30,40,48
EPS in Rs,22.52,61.86,26.45,39.39,13.02,15.49
