,Mar 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,28,44,44,44,44,44,54,54,54,53,53
Reserves,135,172,220,573,625,693,660,723,"1,097","1,185","1,314","1,494","1,567"
Borrowings +,380,440,691,991,"1,186","1,196",895,886,"1,192","1,090",732,593,523
Other Liabilities +,88,109,208,256,344,362,390,465,685,641,842,974,860
Total Liabilities,629,748,"1,148","1,864","2,200","2,295","1,990","2,118","3,029","2,971","2,941","3,115","3,003"
Fixed Assets +,295,339,463,926,"1,159","1,196",753,787,"1,089","1,061","1,029",943,957
CWIP,20,23,154,137,38,26,18,15,25,15,10,53,3
Investments,0,0,28,0,0,0,63,68,0,0,0,0,0
Other Assets +,313,386,504,801,"1,002","1,073","1,155","1,248","1,916","1,895","1,903","2,119","2,043"
Total Assets,629,748,"1,148","1,864","2,200","2,295","1,990","2,118","3,029","2,971","2,941","3,115","3,003"
