,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,20,27,27,29,45,45,45,45,51
Reserves,228,396,442,497,971,808,349,-830,"-1,729"
Borrowings +,729,984,"1,507","1,778","2,260","2,762","2,959","3,142","3,355"
Other Liabilities +,178,219,217,904,645,563,660,442,874
Total Liabilities,"1,154","1,626","2,194","3,208","3,921","4,179","4,013","2,799","2,550"
Fixed Assets +,387,897,862,971,923,928,851,801,784
CWIP,336,0,645,"1,026","1,906","1,934","2,179",0,0
Investments,0,39,0,0,0,0,0,0,0
Other Assets +,431,689,687,"1,211","1,091","1,316",983,"1,998","1,766"
Total Assets,"1,154","1,626","2,194","3,208","3,921","4,179","4,013","2,799","2,550"
