,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21
Reserves,275,284,299,303
Borrowings +,83,117,116,134
Other Liabilities +,86,110,164,184
Total Liabilities,465,532,599,641
Fixed Assets +,50,49,86,83
CWIP,37,52,30,42
Investments,0,0,0,0
Other Assets +,378,430,484,516
Total Assets,465,532,599,641
