,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,423","1,826","2,012","2,184","2,604","2,957"
Expenses +,949,"1,289","1,394","1,507","1,806","2,086"
Operating Profit,474,537,618,678,798,871
OPM %,33%,29%,31%,31%,31%,29%
Other Income +,53,75,153,94,20,63
Interest,23,32,35,28,24,40
Depreciation,131,164,219,274,310,351
Profit before tax,372,415,517,469,484,542
Tax %,18%,20%,20%,14%,18%,
Net Profit,305,332,412,405,396,433
EPS in Rs,7.64,8.29,10.30,10.12,9.88,10.80
