,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,6,6,6,6,6,6,6,6,6
Reserves,49,47,55,62,203,219,222,214,206,186,184,165,139
Borrowings +,2,15,34,24,8,3,3,123,207,263,278,367,475
Other Liabilities +,30,63,105,122,115,48,58,46,51,89,136,180,128
Total Liabilities,86,131,199,214,332,276,290,388,471,544,604,718,749
Fixed Assets +,3,5,5,4,4,4,3,4,5,5,4,3,3
CWIP,0,0,0,0,6,0,0,0,0,0,0,0,0
Investments,16,11,3,7,136,128,66,73,42,3,2,2,1
Other Assets +,67,115,191,202,186,145,221,312,424,536,598,713,745
Total Assets,86,131,199,214,332,276,290,388,471,544,604,718,749
