,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,20,19,19,19,22,22,22,22,21,21,21,21
Reserves,233,266,266,270,279,319,357,388,432,408,464,516,553
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,151,26,28,36,75,51,40,30,26,35,55,32,35
Total Liabilities,405,312,313,325,374,392,419,440,480,464,540,569,608
Fixed Assets +,43,38,36,35,35,33,37,35,33,30,28,26,25
CWIP,0,0,0,0,1,0,0,0,0,0,0,0,0
Investments,106,109,74,46,33,51,172,225,313,146,370,308,318
Other Assets +,255,165,203,244,305,307,210,179,135,289,142,236,266
Total Assets,405,312,313,325,374,392,419,440,480,464,540,569,608
