,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,355","2,966","3,422","2,819","3,191","3,289"
Expenses +,"1,891","2,394","2,711","2,096","2,558","2,685"
Operating Profit,465,571,711,723,633,604
OPM %,20%,19%,21%,26%,20%,18%
Other Income +,189,226,245,203,260,288
Interest,12,15,50,58,53,48
Depreciation,38,34,49,60,74,74
Profit before tax,604,748,858,808,766,771
Tax %,34%,36%,26%,25%,26%,
Net Profit,396,478,632,609,564,559
EPS in Rs,29.16,36.35,48.05,46.27,42.87,42.50
