,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,134,141,196,242
Expenses +,103,128,158,186
Operating Profit,31,12,38,56
OPM %,23%,9%,19%,23%
Other Income +,6,14,4,5
Interest,0,0,0,0
Depreciation,2,4,4,5
Profit before tax,34,23,38,56
Tax %,26%,27%,27%,
Net Profit,25,17,28,41
EPS in Rs,9.18,6.05,10.12,15.12
