,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,26,26,26,26,26,26,26,26
Reserves,242,167,170,90,48,56,77,23,40,62,126,207,242
Borrowings +,191,216,224,188,188,158,170,191,158,121,75,22,19
Other Liabilities +,310,318,280,304,324,309,205,263,270,285,228,225,219
Total Liabilities,769,726,700,608,586,548,478,503,493,494,454,479,506
Fixed Assets +,182,184,140,111,98,87,78,65,58,64,60,68,62
CWIP,0,1,3,1,1,2,0,1,0,0,0,0,-0
Investments,55,19,19,18,10,12,13,20,23,10,42,32,33
Other Assets +,531,523,538,478,478,448,386,418,413,419,351,379,411
Total Assets,769,726,700,608,586,548,478,503,493,494,454,479,506
