,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,748,"1,388","1,370","1,995","2,336"
Expenses +,619,"1,172","1,161","1,610","1,875"
Operating Profit,129,215,209,385,460
OPM %,17%,16%,15%,19%,20%
Other Income +,18,10,12,9,13
Interest,1,14,7,3,-1
Depreciation,9,26,30,34,36
Profit before tax,138,186,185,357,439
Tax %,35%,27%,26%,25%,
Net Profit,90,136,137,269,331
EPS in Rs,7.48,11.31,11.37,16.71,20.54
