,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,24,24,24,24,24,24,24
Reserves,122,153,180,229,322,439,573,706,895,"1,160","1,368","1,467"
Borrowings +,248,214,188,146,115,59,48,31,310,334,466,492
Other Liabilities +,157,183,241,289,335,395,398,401,414,551,513,465
Total Liabilities,543,567,625,679,788,918,"1,043","1,162","1,644","2,069","2,372","2,448"
Fixed Assets +,228,268,252,286,288,318,348,412,851,894,883,988
CWIP,41,1,17,8,10,36,52,1,18,33,120,60
Investments,5,8,0,0,10,0,98,318,231,411,618,615
Other Assets +,268,290,356,385,481,564,544,432,544,732,751,785
Total Assets,543,567,625,679,788,918,"1,043","1,162","1,644","2,069","2,372","2,448"
