,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,11,11,11,11,11,11,11,11,11,11,11
Reserves,13,19,29,40,50,68,90,126,163,223,278
Borrowings +,38,70,108,192,228,209,184,163,158,125,202
Other Liabilities +,31,25,25,41,50,55,65,85,96,103,116
Total Liabilities,93,126,173,283,338,344,350,384,428,462,606
Fixed Assets +,62,69,106,193,295,285,282,285,342,358,444
CWIP,6,20,42,38,0,5,5,17,10,6,13
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,25,36,25,53,43,54,62,83,76,99,149
Total Assets,93,126,173,283,338,344,350,384,428,462,606
