,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,19,19,19,46,64,78,79,80,81,82,64
Reserves,195,223,263,291,300,308,624,640,664,684,694,700,711
Borrowings +,216,339,367,424,514,579,376,472,511,570,565,576,598
Other Liabilities +,137,188,260,252,308,405,363,345,281,250,267,297,280
Total Liabilities,566,768,908,986,"1,141","1,338","1,427","1,521","1,521","1,569","1,590","1,638","1,654"
Fixed Assets +,127,175,213,277,307,335,399,425,453,494,464,447,446
CWIP,72,66,53,29,0,3,0,0,7,3,2,10,4
Investments,15,15,15,15,15,54,0,0,0,0,0,0,0
Other Assets +,352,513,627,664,819,947,"1,028","1,095","1,060","1,072","1,124","1,181","1,204"
Total Assets,566,768,908,986,"1,141","1,338","1,427","1,521","1,521","1,569","1,590","1,638","1,654"
