,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,101,101,49,61,61,65,72,72
Reserves,198,328,523,"1,077","1,509","2,022",952,163
Borrowings +,135,372,371,579,"1,149",997,"3,293","3,167"
Other Liabilities +,237,281,687,931,"2,676","3,835",778,"1,064"
Total Liabilities,591,"1,003","1,629","2,648","5,395","6,919","5,094","4,466"
Fixed Assets +,12,14,19,100,661,616,575,547
CWIP,3,2,1,21,17,9,4,2
Investments,0,0,0,126,20,17,26,27
Other Assets +,577,987,"1,609","2,400","4,698","6,277","4,489","3,891"
Total Assets,591,"1,003","1,629","2,648","5,395","6,919","5,094","4,466"
