,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,27,27,27,27,27,27,27,27,27,27
Reserves,204,226,265,326,395,483,602,713,812,902,"1,061","1,224","1,316"
Borrowings +,220,268,302,292,229,210,142,311,416,469,559,651,810
Other Liabilities +,72,63,86,80,111,81,78,83,166,112,142,168,187
Total Liabilities,510,571,667,725,762,801,848,"1,134","1,422","1,509","1,788","2,070","2,339"
Fixed Assets +,273,257,334,361,340,417,393,371,383,724,798,882,"1,025"
CWIP,42,94,0,39,53,0,0,226,424,100,149,160,131
Investments,2,2,2,2,2,2,2,1,1,1,0,0,0
Other Assets +,193,218,331,324,367,382,453,535,613,684,841,"1,028","1,183"
Total Assets,510,571,667,725,762,801,848,"1,134","1,422","1,509","1,788","2,070","2,339"
