,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,245,279,288,300
Expenses +,176,209,217,235
Operating Profit,70,70,71,65
OPM %,28%,25%,25%,22%
Other Income +,4,3,4,3
Interest,2,2,2,1
Depreciation,9,11,12,12
Profit before tax,63,61,61,55
Tax %,32%,13%,-2%,
Net Profit,43,54,62,57
EPS in Rs,42.13,54.44,62.80,57.19
