,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,21,22,23,23,23,23,23
Reserves,528,521,528,444,384,379,414,476,493,436,357,400,418
Borrowings +,574,634,638,682,762,797,745,605,552,520,519,380,353
Other Liabilities +,715,844,832,695,596,637,595,645,756,839,622,629,660
Total Liabilities,"1,838","2,020","2,019","1,841","1,762","1,833","1,774","1,748","1,824","1,818","1,520","1,432","1,454"
Fixed Assets +,162,180,159,140,90,99,431,414,412,311,236,230,233
CWIP,346,145,106,117,130,139,95,97,94,95,0,0,0
Investments,5,256,302,299,299,301,1,1,1,1,0,0,0
Other Assets +,"1,325","1,439","1,452","1,285","1,244","1,294","1,247","1,236","1,316","1,412","1,284","1,202","1,221"
Total Assets,"1,838","2,020","2,019","1,841","1,762","1,833","1,774","1,748","1,824","1,818","1,520","1,432","1,454"
