,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,71,71,71,71,71,71,71,71,71,71,71
Reserves,201,231,242,264,273,286,260,260,272,283,205
Borrowings +,2,6,9,12,7,6,4,3,3,4,4
Other Liabilities +,43,57,75,74,68,71,92,88,92,50,19
Total Liabilities,316,365,397,421,418,434,428,422,437,409,298
Fixed Assets +,4,4,4,4,4,4,3,3,3,3,3
CWIP,88,106,106,106,106,106,106,106,106,106,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,224,255,287,311,309,325,318,313,328,300,295
Total Assets,316,365,397,421,418,434,428,422,437,409,298
