,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,158,205,315,431,626,979,"1,352"
Expenses +,142,184,288,382,561,882,"1,221"
Operating Profit,16,22,28,49,65,97,131
OPM %,10%,11%,9%,11%,10%,10%,10%
Other Income +,1,0,9,7,-1,5,6
Interest,4,7,15,22,27,42,63
Depreciation,2,3,3,4,6,10,14
Profit before tax,11,13,19,29,30,50,61
Tax %,31%,22%,14%,27%,29%,40%,28%
Net Profit,7,10,16,21,21,30,44
EPS in Rs,8.60,11.60,11.35,5.58,5.56,7.89,11.64
