,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,361,630,577,828,968
Expenses +,304,545,495,682,823
Operating Profit,58,85,82,146,144
OPM %,16%,13%,14%,18%,15%
Other Income +,11,3,17,11,19
Interest,10,6,2,1,1
Depreciation,26,38,35,34,33
Profit before tax,33,44,61,122,129
Tax %,25%,19%,31%,30%,
Net Profit,25,35,42,85,104
EPS in Rs,0.98,3.14,3.69,7.33,9.09
