,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,65,65,65,65,65,65
Reserves,105,158,476,598,761,997,"1,371","1,555"
Borrowings +,123,204,408,380,520,768,"1,184","1,428"
Other Liabilities +,153,192,535,529,869,850,660,679
Total Liabilities,398,572,"1,484","1,573","2,216","2,680","3,280","3,727"
Fixed Assets +,116,204,412,462,483,484,459,536
CWIP,5,1,9,0,11,2,2,26
Investments,0,0,0,3,0,0,0,9
Other Assets +,277,367,"1,064","1,108","1,722","2,195","2,819","3,156"
Total Assets,398,572,"1,484","1,573","2,216","2,680","3,280","3,727"
