,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,12,12,12,24,24,24,24,24
Reserves,59,70,81,83,92,351,403,431,463,535,597
Borrowings +,65,63,104,111,114,385,688,566,532,596,403
Other Liabilities +,20,20,29,18,24,90,103,113,230,258,452
Total Liabilities,149,160,220,224,242,838,"1,218","1,134","1,250","1,414","1,477"
Fixed Assets +,68,82,101,113,130,406,651,712,675,708,798
CWIP,9,11,22,25,22,27,39,13,17,36,0
Investments,0,0,0,0,0,3,3,3,3,22,22
Other Assets +,71,66,97,86,90,402,524,406,553,647,657
Total Assets,149,160,220,224,242,838,"1,218","1,134","1,250","1,414","1,477"
