,Mar 2017,Mar 2018
Share Capital +,26.19,26.19
Reserves,100.44,100.93
Borrowings +,73.05,56.83
Other Liabilities +,17.03,16.24
Total Liabilities,216.71,200.19
Fixed Assets +,1.68,1.73
CWIP,0.00,0.00
Investments,0.08,0.33
Other Assets +,214.95,198.13
Total Assets,216.71,200.19
