,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,11,13,13,13,11,11
Reserves,49,58,70,75,81,68,72
Borrowings +,36,37,35,33,38,55,62
Other Liabilities +,53,60,54,55,41,59,63
Total Liabilities,148,168,172,176,173,192,207
Fixed Assets +,61,68,68,62,68,67,65
CWIP,1,4,2,11,1,1,0
Investments,0,0,0,0,0,0,0
Other Assets +,86,95,102,104,103,124,142
Total Assets,148,168,172,176,173,192,207
