,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,80,81,83,83,83,83,83,83,83,83
Reserves,88,111,157,151,260,424,512,734,890,974,"1,162","1,425","1,466"
Borrowings +,20,0,0,1,0,0,0,0,0,0,150,532,285
Other Liabilities +,59,63,108,146,161,119,95,98,117,317,265,309,467
Total Liabilities,169,177,269,352,475,625,690,916,"1,091","1,374","1,661","2,349","2,302"
Fixed Assets +,112,108,127,140,150,166,152,208,209,413,447,"1,375","1,353"
CWIP,0,6,1,0,1,4,18,10,3,11,10,15,7
Investments,1,5,55,9,38,64,106,145,185,164,59,65,124
Other Assets +,56,58,87,203,286,391,414,554,694,786,"1,144",893,818
Total Assets,169,177,269,352,475,625,690,916,"1,091","1,374","1,661","2,349","2,302"
