,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,17.71,45.07,40.03,36.14,41.61
Expenses +,14.51,34.67,34.43,33.17,37.42
Operating Profit,3.20,10.40,5.60,2.97,4.19
OPM %,18.07%,23.08%,13.99%,8.22%,10.07%
Other Income +,0.08,0.31,0.28,0.36,0.66
Interest,0.62,0.55,0.48,0.49,0.56
Depreciation,1.00,2.27,1.69,1.21,1.06
Profit before tax,1.66,7.89,3.71,1.63,3.23
Tax %,36.14%,28.77%,41.78%,29.45%,34.98%
Net Profit,1.06,5.62,2.23,1.12,2.14
EPS in Rs,1.04,5.51,2.19,1.10,2.11
