,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,382,690,983,"1,556"
Expenses +,364,655,925,"1,460"
Operating Profit,19,35,58,96
OPM %,5%,5%,6%,6%
Other Income +,0,1,0,0
Interest,2,7,17,26
Depreciation,2,2,2,3
Profit before tax,15,26,39,67
Tax %,34%,34%,34%,34%
Net Profit,10,17,26,44
EPS in Rs,2.51,4.16,6.06,9.97
