,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,50,50,50,50,58,63,62
Reserves,50,77,121,173,219,594,"1,610","1,599"
Borrowings +,0,18,84,79,53,20,16,15
Other Liabilities +,158,55,168,185,302,350,964,919
Total Liabilities,228,200,423,487,625,"1,022","2,653","2,595"
Fixed Assets +,9,33,182,170,176,193,952,919
CWIP,1,0,0,2,0,1,0,0
Investments,0,0,0,11,12,13,13,13
Other Assets +,218,167,241,304,438,815,"1,688","1,662"
Total Assets,228,200,423,487,625,"1,022","2,653","2,595"
