,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,20,20,20,20,20,20,20,20,20
Reserves,67,80,95,119,153,192,251,300,330,356,400,516,588
Borrowings +,124,115,158,310,356,342,372,565,646,529,444,599,814
Other Liabilities +,94,79,115,157,139,166,167,367,410,208,149,109,135
Total Liabilities,306,295,389,607,667,720,811,"1,252","1,405","1,112","1,013","1,244","1,556"
Fixed Assets +,91,98,155,297,350,338,299,395,568,296,224,205,342
CWIP,-0,2,2,4,12,-0,25,27,-0,-0,6,-0,2
Investments,6,9,8,6,5,5,5,3,4,20,11,19,19
Other Assets +,208,186,223,300,299,378,482,826,834,797,771,"1,020","1,193"
Total Assets,306,295,389,607,667,720,811,"1,252","1,405","1,112","1,013","1,244","1,556"
