,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10
Reserves,713,750,799,875,"1,779","1,356","1,023","1,736","2,319","2,708"
Borrowings +,190,133,108,97,88,138,323,305,"1,157","1,060"
Other Liabilities +,592,589,515,597,829,938,954,"1,145","3,239","3,471"
Total Liabilities,"1,504","1,482","1,432","1,578","2,706","2,441","2,310","3,196","6,724","7,249"
Fixed Assets +,553,548,556,587,599,650,897,"1,057","2,780","2,763"
CWIP,23,31,8,19,76,62,144,243,418,625
Investments,423,422,511,505,"1,423",933,541,"1,068","1,190","1,528"
Other Assets +,505,480,357,467,608,796,728,828,"2,336","2,334"
Total Assets,"1,504","1,482","1,432","1,578","2,706","2,441","2,310","3,196","6,724","7,249"
