,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,214,246,322,394
Expenses +,156,163,228,283
Operating Profit,58,83,94,110
OPM %,27%,34%,29%,28%
Other Income +,4,1,9,13
Interest,5,7,7,9
Depreciation,12,13,14,16
Profit before tax,46,65,82,98
Tax %,31%,29%,26%,
Net Profit,31,46,61,74
EPS in Rs,11.70,14.98,19.79,24.07
