,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,13,13,13,13,13,13
Reserves,155,156,163,165,160,162,168,176,184,196,222,239,244
Borrowings +,11,16,15,15,28,28,24,13,11,9,18,9,5
Other Liabilities +,34,28,19,16,17,17,14,25,59,68,34,37,34
Total Liabilities,212,213,209,208,217,218,218,228,267,286,288,299,297
Fixed Assets +,167,181,194,175,167,163,164,179,193,212,217,229,236
CWIP,-0,-0,-0,-0,1,2,5,2,3,4,2,-0,-0
Investments,2,1,1,1,18,15,10,-0,-0,-0,-0,-0,-0
Other Assets +,43,31,14,32,30,39,39,47,71,70,69,70,60
Total Assets,212,213,209,208,217,218,218,228,267,286,288,299,297
