,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,23,23,23,42,53,53
Reserves,636,"1,037","1,106",574,480,697,723
Borrowings +,604,745,824,"2,162","1,755",958,"1,131"
Other Liabilities +,946,"1,371","1,571","1,673","1,424","1,555","1,885"
Total Liabilities,"2,208","3,176","3,524","4,433","3,701","3,263","3,792"
Fixed Assets +,340,532,537,"1,234","1,045",661,761
CWIP,-0,1,11,1,0,-0,0
Investments,82,0,0,-0,-0,-0,-0
Other Assets +,"1,786","2,643","2,975","3,197","2,656","2,602","3,031"
Total Assets,"2,208","3,176","3,524","4,433","3,701","3,263","3,792"
