,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,5.94,5.94,5.94,5.94
Reserves,116.22,114.87,97.17,97.44
Borrowings +,0.99,0.63,15.64,10.11
Other Liabilities +,0.31,0.51,0.25,0.84
Total Liabilities,123.46,121.95,119.00,114.33
Fixed Assets +,23.82,22.71,10.56,10.56
CWIP,0.05,0.05,0.05,0.05
Investments,45.13,44.33,44.95,44.13
Other Assets +,54.46,54.86,63.44,59.59
Total Assets,123.46,121.95,119.00,114.33
