,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,18,25,25,25,25,25
Reserves,28,36,46,58,78,130,124,137,148,165
Borrowings +,23,24,32,40,46,57,56,58,37,60
Other Liabilities +,53,66,54,112,212,162,178,164,164,161
Total Liabilities,121,143,149,227,354,373,383,383,373,410
Fixed Assets +,37,40,43,56,39,43,53,48,49,48
CWIP,-0,-0,-0,-0,14,14,-0,-0,2,-0
Investments,-0,-0,-0,-0,3,3,5,3,3,3
Other Assets +,84,104,106,171,297,313,325,331,319,358
Total Assets,121,143,149,227,354,373,383,383,373,410
