,Mar 2016,Mar 2017,Mar 2022,TTM
Sales +,39,61,455,451
Expenses +,30,42,324,334
Operating Profit,9,19,132,116
OPM %,23%,31%,29%,26%
Other Income +,3,2,15,17
Interest,9,9,18,7
Depreciation,6,12,41,46
Profit before tax,-3,0,87,80
Tax %,-49%,180%,21%,
Net Profit,-5,-0,68,64
EPS in Rs,-9.53,-0.14,21.78,20.33
