,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16
Reserves,"3,631","5,887","7,141","7,635"
Borrowings +,5,5,5,5
Other Liabilities +,435,588,671,966
Total Liabilities,"4,086","6,496","7,834","8,621"
Fixed Assets +,968,954,"1,502","1,566"
CWIP,188,338,191,125
Investments,0,0,155,0
Other Assets +,"2,929","5,204","5,986","6,930"
Total Assets,"4,086","6,496","7,834","8,621"
