,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,17,17,17
Reserves,489,606,715,747
Borrowings +,263,115,167,264
Other Liabilities +,176,211,210,190
Total Liabilities,944,949,"1,109","1,218"
Fixed Assets +,406,396,461,532
CWIP,9,5,50,31
Investments,-0,-0,-0,-0
Other Assets +,529,548,599,655
Total Assets,944,949,"1,109","1,218"
