,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,5,5,5,41,60,60,60,60,60
Reserves,25,38,71,148,391,451,-20,-319,-524
Borrowings +,192,316,327,348,486,"1,003","1,105","1,306","1,425"
Other Liabilities +,150,173,201,285,241,253,195,137,139
Total Liabilities,373,532,604,822,"1,177","1,766","1,340","1,184","1,101"
Fixed Assets +,121,207,306,355,568,628,737,643,612
CWIP,42,94,44,57,108,115,75,75,75
Investments,1,0,0,0,0,0,0,9,8
Other Assets +,209,231,253,410,501,"1,023",527,457,405
Total Assets,373,532,604,822,"1,177","1,766","1,340","1,184","1,101"
