,Mar 2021,Mar 2022,TTM
Sales +,128.83,101.65,81.43
Expenses +,93.78,72.97,59.89
Operating Profit,35.05,28.68,21.54
OPM %,27.21%,28.21%,26.45%
Other Income +,7.54,9.67,3.94
Interest,14.56,14.30,13.87
Depreciation,0.11,0.12,0.12
Profit before tax,27.92,23.93,11.49
Tax %,27.47%,27.87%,
Net Profit,20.26,17.25,8.65
EPS in Rs,0.33,0.28,0.15
