,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,17,17,17,17
Reserves,189,182,294,371,553,751
Borrowings +,85,79,57,72,28,24
Other Liabilities +,84,64,76,59,189,120
Total Liabilities,372,340,445,519,788,912
Fixed Assets +,195,187,161,134,130,124
CWIP,2,0,3,0,0,2
Investments,39,23,18,50,164,306
Other Assets +,137,129,262,334,494,481
Total Assets,372,340,445,519,788,912
