,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,14,17,35,35,35,49
Reserves,72,239,385,130,-18,-9
Borrowings +,0,0,1,0,3,7
Other Liabilities +,18,25,35,27,10,18
Total Liabilities,105,281,455,192,30,65
Fixed Assets +,20,24,177,106,8,12
CWIP,1,36,32,0,0,0
Investments,3,24,16,0,0,0
Other Assets +,81,197,231,86,22,54
Total Assets,105,281,455,192,30,65
