,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,9,9,9,9,9,9,9,9,9,9,9
Reserves,139,163,177,140,157,172,258,271,333,262,257
Borrowings +,239,307,352,340,279,256,208,139,79,124,112
Other Liabilities +,148,149,182,178,225,218,283,246,290,345,409
Total Liabilities,535,628,720,666,670,655,757,665,712,740,788
Fixed Assets +,211,240,272,277,257,243,259,248,276,265,277
CWIP,6,27,21,5,4,3,2,3,4,16,11
Investments,13,6,2,2,2,2,2,2,2,4,2
Other Assets +,305,355,426,383,408,407,494,412,430,456,498
Total Assets,535,628,720,666,670,655,757,665,712,740,788
