,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Share Capital +,136,136,14,14,14
Reserves,145,142,154,202,317
Borrowings +,4,4,5,5,5
Other Liabilities +,353,423,557,579,550
Total Liabilities,638,706,729,799,885
Fixed Assets +,164,168,210,249,254
CWIP,9,24,31,8,6
Investments,145,130,65,35,20
Other Assets +,319,383,424,507,604
Total Assets,638,706,729,799,885
