,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,91,92,92,92,92,94,94,95,96,96,96,96,96
Reserves,579,743,895,"1,117","1,390","1,652","1,915","2,148","2,477","1,151",944,970,977
Borrowings +,275,448,403,433,491,364,652,690,592,549,547,480,478
Other Liabilities +,420,409,413,552,"1,295","1,391","1,015",854,"1,042",702,827,861,784
Total Liabilities,"1,365","1,692","1,803","2,193","3,269","3,501","3,676","3,787","4,206","2,497","2,414","2,407","2,335"
Fixed Assets +,332,529,792,"1,041","1,214","2,609","2,701","2,633","2,565",920,737,559,524
CWIP,447,428,439,579,"1,018",32,26,71,91,89,178,172,0
Investments,155,52,8,8,0,0,0,0,0,0,0,0,0
Other Assets +,431,683,564,566,"1,036",859,949,"1,083","1,551","1,488","1,499","1,677","1,811"
Total Assets,"1,365","1,692","1,803","2,193","3,269","3,501","3,676","3,787","4,206","2,497","2,414","2,407","2,335"
